id,date_start,country,link,description,persons
1,2016-04-01T00:00:00,Danmark,/kalender/hkh-prinsesse-marie-besoeger-danmarks-meteorologiske-institut-kl-1300-0,H.K.H. Prinsesse Marie besøger Danmarks Meteorologiske Institut kl. 13.00,H.K.H. Prinsesse Marie
2,2016-04-02T00:00:00,Danmark,/kalender/hkh-prins-joachim-deltager-i-international-talent-conference-2016-kl-950,H.K.H. Prins Joachim deltager i International Talent Conference 2016 kl. 9.50,H.K.H. Prins Joachim
3,2016-04-04T00:00:00,Danmark,/kalender/offentlig-audiens,Offentlig audiens,
4,2016-04-04T00:00:00,Danmark,/kalender/hkh-prinsgemalen-modtager-den-danske-sektion-af-lycee-international-de-saint-germain-en-laye-kl-1130,H.K.H. Prinsgemalen modtager Den Danske Sektion af Lycée International de Saint-Germain-en-Laye kl. 11.30,H.K.H. Prins Henrik
5,2016-04-04T00:00:00,Danmark,/kalender/hkh-prins-joachim-deltager-i-afslutningsmiddag-med-det-danske-og-det-tyske-kokkelandshold-kl-1810-0,H.K.H. Prins Joachim deltager i afslutningsmiddag med Det Danske og Det Tyske Kokkelandshold kl. 18.10,H.K.H. Prins Joachim
6,2016-04-05T00:00:00,Danmark,/kalender/hm-dronningen-deltager-i-faneindvielse-kl-1025,H.M. Dronningen deltager i Faneindvielse kl. 10.25,H.M. Dronningen
7,2016-04-06T00:00:00,Danmark,/kalender/hkh-kronprinsen-er-regent-den-6-8-april-0,H.K.H. Kronprinsen er regent den 6. – 8. april,H.K.H. Kronprinsen
8,2016-04-07T00:00:00,Danmark,/kalender/hkh-kronprinsen-forestaar-overraekkelse-af-prisen-danish-design-award-kl-1700-0,"H.K.H. Kronprinsen forestår overrækkelse af prisen ""Danish Design Award"" kl. 17.00",H.K.H. Kronprinsen
9,2016-04-07T00:00:00,Danmark,/kalender/hkh-prinsgemalen-overvaerer-uddeling-af-sonnings-musikpris-kl-1930,H.K.H. Prinsgemalen overværer uddeling af Sonnings Musikpris kl. 19.30,H.K.H. Prins Henrik
10,2016-04-09T00:00:00,Danmark,/kalender/hkh-kronprinsen-deltager-i-soeofficers-foreningens-foraarsfest-kl-1830,H.K.H. Kronprinsen deltager i Søofficers-Foreningens forårsfest kl. 18.30,H.K.H. Kronprinsen
11,2016-04-10T00:00:00,Danmark,/kalender/hkh-prinsesse-benedikte-deltager-i-indvielseskoncert-med-det-historiske-svaleredeorgel-i-sankt,H.K.H. Prinsesse Benedikte deltager i indvielseskoncert med det historiske Svaleredeorgel i Sankt Peders Kirke kl. 15.00,H.K.H. Prinsesse Benedikte
12,2016-04-12T00:00:00,Danmark,/kalender/kronprinsparret-til-stede-ved-aabning-af-huset,Kronprinsparret til stede ved åbning af Huset,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
13,2016-04-12T00:00:00,Danmark,/kalender/hm-dronningen-er-til-stede-ved-uddelingen-af-rungstedlundprisen-2016-kl-1600,H.M. Dronningen er til stede ved uddelingen af Rungstedlundprisen 2016 kl. 16.00,H.M. Dronningen
14,2016-04-13T00:00:00,Danmark,/kalender/statsbesoeg-fra-mexico-0,Statsbesøg fra Mexico,H.M. Dronningen
15,2016-04-13T00:00:00,Danmark,/kalender/regentparret-og-den-kongelige-familie-modtager-he-mexicos-praesident-enrique-pena-nieto-og-fr,Regentparret og den kongelige familie modtager H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera kl. 13.00,"H.M. Dronningen,H.K.H. Prins Henrik,H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
16,2016-04-13T00:00:00,Danmark,/kalender/regentparret-og-he-mexicos-praesident-enrique-pena-nieto-og-fr-angelica-rivera-ankommer-til,Regentparret og H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera ankommer til Fredensborg Slot kl. 14.15,"H.M. Dronningen,H.K.H. Prins Henrik"
17,2016-04-13T00:00:00,Danmark,/kalender/kronprinsparret-besoeger-sammen-med-he-mexicos-praesident-enrique-pena-nieto-og-fr-angelica-rivera,Kronprinsparret besøger sammen med H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera Kronborg Slot kl. 15.35,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
18,2016-04-13T00:00:00,Danmark,/kalender/kronprinsparret-besoeger-sammen-med-he-mexicos-praesident-enrique-pena-nieto-og-fr-angelica-rivera-0,Kronprinsparret besøger sammen med H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera M/S Museet for Søfart kl. 16.10,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
19,2016-04-13T00:00:00,Danmark,/kalender/hm-dronningen-afholder-gallataffel-til-aere-for-he-mexicos-praesident-enrique-pena-nieto-og-fr,H.M. Dronningen afholder gallataffel til ære for H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera med deltagelse af den kongelige familie kl. 20.00,"H.M. Dronningen,H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
20,2016-04-14T00:00:00,Danmark,/kalender/hkh-prinsesse-benedikte-deltager-som-formand-for-dronning-ingrids-haederslegat-i-pressemoede-i,H.K.H. Prinsesse Benedikte deltager som formand for Dronning Ingrids Hæderslegat i pressemøde i anledning af offentliggørelse af årets legatmodtagere kl. 10.00,H.K.H. Prinsesse Benedikte
21,2016-04-14T00:00:00,Danmark,/kalender/hkh-kronprinsessen-besoeger-sammen-med-fr-angelica-rivera-boernehaven-aadalen-kl-1015,H.K.H. Kronprinsessen besøger sammen med Fr. Angélica Rivera Børnehaven Ådalen kl. 10.15,H.K.H. Kronprinsessen
22,2016-04-14T00:00:00,Danmark,/kalender/hkh-kronprinsen-deltager-sammen-med-he-mexicos-praesident-enrique-pena-nieto-i-erhvervskonference,H.K.H. Kronprinsen deltager sammen med  H.E. Mexicos Præsident Enrique Peña Nieto i erhvervskonference hos Dansk Industri kl. 10.45,H.K.H. Kronprinsen
23,2016-04-14T00:00:00,Danmark,/kalender/kronprinsparret-besoeger-sammen-med-he-mexicos-praesident-enrique-pena-nieto-og-fr-angelica-rivera-1,Kronprinsparret besøger sammen med H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera Tjørnegaardsskolen kl. 16.00,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
24,2016-04-14T00:00:00,Danmark,/kalender/den-kongelige-familie-deltager-efter-indbydelse-fra-he-mexicos-praesident-enrique-pena-nieto-og-fr,Den kongelige familie deltager efter indbydelse fra H.E. Mexicos Præsident Enrique Peña Nieto og Fr. Angélica Rivera i returarrangement i København kl. 19.00,"H.M. Dronningen,H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
25,2016-04-15T00:00:00,Danmark,/kalender/hkh-kronprinsessen-forestaar-aabning-af-ny-social-og-sundhedsskole-kl-1330,H.K.H. Kronprinsessen forestår åbning af ny social- og sundhedsskole,H.K.H. Kronprinsessen
26,2016-04-15T00:00:00,Danmark,/kalender/hkh-kronprinsessen-overvaerer-ol-kvalifikationsstaevnet-danish-open-kl-1720,H.K.H. Kronprinsessen overværer OL-kvalifikationsstævnet Danish Open ,H.K.H. Kronprinsessen
27,2016-04-16T00:00:00,Danmark,/kalender/hm-dronningens-foedselsdag-0,H.M. Dronningens fødselsdag,H.M. Dronningen
28,2016-04-16T00:00:00,Danmark,/kalender/regentparret-og-den-kongelige-familie-viser-sig-paa-balkonen-kl-1200,H.M. Dronningen og den kongelige familie viser sig på balkonen,"H.M. Dronningen,H.K.H. Prins Henrik,H.K.H. Kronprinsen,H.K.H. Kronprinsessen,H.K.H. Prins Joachim,H.K.H. Prinsesse Marie"
29,2016-04-17T00:00:00,Danmark,/kalender/hm-dronningen-modtager-den-kinesiske-statsraad-yang-jiechi-kl-1145,H.M. Dronningen modtager den kinesiske statsråd Yang Jiechi,H.M. Dronningen
30,2016-04-18T00:00:00,Danmark,/kalender/offentlig-audiens-paa-christiansborg-slot,Offentlig audiens på Christiansborg Slot,H.M. Dronningen
31,2016-04-19T00:00:00,Danmark,/kalender/hm-dronningen-modtager-nationalmuseets-foedselsdagsgave-kl-1500,H.M. Dronningen modtager Nationalmuseets fødselsdagsgave,H.M. Dronningen
32,2016-04-20T00:00:00,Danmark,/kalender/hkh-prins-joachim-sejler-med-fregatten-niels-iuel,H.K.H. Prins Joachim sejler med fregatten Niels Iuel,H.K.H. Prins Joachim
33,2016-04-20T00:00:00,Danmark,/kalender/hm-dronningen-overraekker-dronning-margrethe-iis-videnskabspris-kl-1600,"H.M. Dronningen overrækker ""Dronning Margrethe II's Videnskabspris""",H.M. Dronningen
34,2016-04-21T00:00:00,Danmark,/kalender/hkh-prinsesse-isabellas-foedselsdag,H.K.H. Prinsesse Isabellas fødselsdag,H.K.H. Prinsesse Isabella
35,2016-04-21T00:00:00,Danmark,/kalender/hm-dronningen-til-stede-ved-jubilaeumsarrangement-i-anledning-af-400-aaret-for-shakespeares-doed-kl,H.M. Dronningen til stede ved jubilæumsarrangement i anledning af 400-året for Shakespeares død,H.M. Dronningen
36,2016-04-25T00:00:00,Danmark,/kalender/hkh-kronprinsessen-deltager-i-den-officielle-aabning-af-forskningens-doegn-kl-1000,H.K.H. Kronprinsessen deltager i den officielle åbning af Forskningens Døgn,H.K.H. Kronprinsessen
37,2016-04-25T00:00:00,Danmark,/kalender/hm-dronningen-er-til-stede-ved-det-danske-hedeselskabs-150-aars-jubilaeum-kl-1100,H.M. Dronningen er til stede ved Det danske Hedeselskabs 150-års jubilæum,H.M. Dronningen
38,2016-04-26T00:00:00,Danmark,/kalender/hkh-prins-joachim-deltager-i-unge-forskere-finalen-2016-kl-1000,H.K.H. Prins Joachim deltager i Unge Forskere Finalen 2016,H.K.H. Prins Joachim
39,2016-04-26T00:00:00,Danmark,/kalender/officiel-ombordstigning-paa-kongeskibet-dannebrog-kl-1200,Officiel ombordstigning på Kongeskibet Dannebrog,H.M. Dronningen
40,2016-04-27T00:00:00,Danmark,/kalender/statsraad-paa-christiansborg-slot-kl-0930,Statsråd på Christiansborg Slot,H.M. Dronningen
41,2016-04-27T00:00:00,Danmark,/kalender/hkh-prins-joachim-overraekker-haederstegn-paa-hovedorganisationen-for-personel-af-reserven-i,H.K.H. Prins Joachim overrækker hæderstegn på Hovedorganisationen for Personel af Reserven i Danmarks 96-års dag,H.K.H. Prins Joachim
42,2016-04-27T00:00:00,Danmark,/kalender/dkh-prins-joachim-og-prinsesse-marie-deltager-i-gallamiddag-i-forbindelse-med-dm-i-entreprenoerskab,D.K.H. Prins Joachim og Prinsesse Marie deltager i gallamiddag i forbindelse med DM i Entreprenørskab for Unge,"H.K.H. Prins Joachim,H.K.H. Prinsesse Marie"
43,2016-04-28T00:00:00,Danmark,/kalender/hkh-prins-joachim-deltager-i-medaljeoverraekkelse-i-aarhus-haandvaerkerforening-kl-1700,H.K.H. Prins Joachim deltager i medaljeoverrækkelse i Aarhus Håndværkerforening,H.K.H. Prins Joachim
44,2016-04-29T00:00:00,Danmark,/kalender/hkh-prinsesse-benediktes-foedselsdag,H.K.H. Prinsesse Benediktes fødselsdag,H.K.H. Prinsesse Benedikte
45,2016-03-01T00:00:00,Danmark,/kalender/hkh-prinsesse-marie-rejser-som-protektor-for-landsforeningen-autisme-til-faeroeerne,H.K.H. Prinsesse Marie rejser som protektor for Landsforeningen Autisme til Færøerne,H.K.H. Prinsesse Marie
46,2016-03-04T00:00:00,Danmark,/kalender/hkh-kronprinsen-er-regent-den-4-6-marts,H.K.H. Kronprinsen er regent den 4. – 6. marts,H.K.H. Kronprinsen
47,2016-03-06T00:00:00,Danmark,/kalender/hkh-kronprinsen-overvaerer-gallaaabningen-af-arctic-winter-games-2016,H.K.H. Kronprinsen overværer gallaåbningen af Arctic Winter Games 2016,H.K.H. Kronprinsen
48,2016-03-07T00:00:00,Danmark,/kalender/offentlig-audiens-paa-christiansborg-slot-kl-1000-0,Offentlig audiens kl. 10.00,H.K.H. Kronprinsen
49,2016-03-08T00:00:00,Danmark,/kalender/hkh-kronprinsessen-taler-som-protektor-for-the-women-deliver-2016-conference-kl-1900,H.K.H. Kronprinsessen taler ved KVINFOs 8. marts fest kl. 19.00,H.K.H. Kronprinsessen
50,2016-03-09T00:00:00,Danmark,/kalender/hm-dronningen-overraekker-dronningens-ur-kl-1400,H.M. Dronningen overrækker ’Dronningens ur’ kl. 14.00,H.M. Dronningen
51,2016-03-11T00:00:00,Danmark,/kalender/hkh-prins-joachim-indvier-det-udvidede-og-moderniserede-martec-kl-1230,H.K.H. Prins Joachim indvier det udvidede og moderniserede MARTEC kl. 12.30,H.K.H. Prins Joachim
52,2016-03-13T00:00:00,Danmark,/kalender/hm-dronningen-er-til-stede-ved-festgudstjeneste-i-sankt-petri-kirke-kl-1100,H.M. Dronningen er til stede ved festgudstjeneste i Sankt Petri Kirke kl. 11.00,H.M. Dronningen
53,2016-03-14T00:00:00,Danmark,/kalender/hm-dronningen-afholder-pressemoede-for-mexicanske-journalister-forud-for-statsbesoeg-kl-1100,H.M. Dronningen afholder pressemøde for mexicanske journalister forud for statsbesøg kl. 11.00,H.M. Dronningen
54,2016-03-15T00:00:00,Danmark,/kalender/hkh-kronprinsessen-besoeger-moedrehjaelpen-og-odense-krisecenter-kl-1030,H.K.H. Kronprinsessen besøger Mødrehjælpen og Odense Krisecenter kl. 10.30,H.K.H. Kronprinsessen
55,2016-03-15T00:00:00,Danmark,/kalender/hm-dronningen-afholder-aftenselskab-for-kunst-og-kultur-kl-1930,H.M. Dronningen afholder aftenselskab for kunst og kultur kl. 19.30,H.M. Dronningen
56,2016-03-16T00:00:00,Danmark,/kalender/statsraad-kl-930,Statsråd kl. 9.30,H.M. Dronningen
57,2016-03-16T00:00:00,Danmark,/kalender/hkh-prinsesse-benedikte-er-vaert-for-moede-i-komiteen-til-stoette-for-internationale-spejderformaal,H.K.H. Prinsesse Benedikte er vært for møde i Komiteen til støtte for Internationale Spejderformål kl. 10.00,H.K.H. Prinsesse Benedikte
58,2016-03-16T00:00:00,Danmark,/kalender/hkh-prinsesse-benedikte-afholder-moede-i-pigespejdernes-faellesraad-kl-1600,H.K.H. Prinsesse Benedikte afholder møde i Pigespejdernes Fællesråd kl. 16.00,H.K.H. Prinsesse Benedikte
59,2016-03-16T00:00:00,Danmark,/kalender/hkh-kronprinsessen-overvaerer-forpremiere-paa-filmen-concussion-kl-2130,"H.K.H. Kronprinsessen overværer forpremiere på filmen ""Concussion"" kl. 21.30",H.K.H. Kronprinsessen
60,2016-03-17T00:00:00,Danmark,/kalender/hm-dronningen-er-til-stede-ved-aabning-af-det-kongelige-festkoekken-kl-1600,H.M. Dronningen er til stede ved åbning af Det Kongelige Festkøkken kl. 16.00,H.M. Dronningen
61,2016-03-17T00:00:00,Danmark,/kalender/hm-dronningen-til-stede-ved-akademiraadets-stiftelsesfest-kl-1900,H.M. Dronningen til stede ved Akademiraadets Stiftelsesfest kl. 19.00,H.M. Dronningen
62,2016-03-18T00:00:00,Danmark,/kalender/hkh-kronprinsessen-forestaar-aabning-af-konferencen-fns-17-verdensmaal-for-baeredygtig-udvikling-kl,"H.K.H. Kronprinsessen forestår åbning af konferencen ""FN's 17 verdensmål for bæredygtig udvikling"" kl. 9.00",H.K.H. Kronprinsessen
63,2016-03-18T00:00:00,Danmark,/kalender/hm-dronningen-til-stede-ved-det-kgl-vajsenhus-paaskegudstjeneste-kl-1000,H.M. Dronningen til stede ved Det Kgl. Vajsenhus' påskegudstjeneste kl. 10.00,H.M. Dronningen
64,2016-03-19T00:00:00,Danmark,/kalender/hkh-prinsesse-benedikte-overvaerer-dansk-varmblods-hingstekaaring-og-show,H.K.H. Prinsesse Benedikte overværer Dansk Varmblods hingstekåring og show,H.K.H. Prinsesse Benedikte
65,2016-03-19T00:00:00,Danmark,/kalender/dkh-prins-joachim-og-prinsesse-marie-aabner-lego-ninjago-world-kl-1040,D.K.H. Prins Joachim og Prinsesse Marie åbner LEGO Ninjago World kl. 10.40,"H.K.H. Prins Joachim,H.K.H. Prinsesse Marie"
66,2016-03-20T00:00:00,Danmark,/kalender/hkh-prinsesse-benedikte-afholder-bestyrelsesmoede-i-dressurens-venner-kl-1000,H.K.H. Prinsesse Benedikte afholder bestyrelsesmøde i Dressurens Venner kl. 10.00,H.K.H. Prinsesse Benedikte
67,2016-03-21T00:00:00,Danmark,/kalender/residensforlaeggelse-til-marselisborg-slot,Residensforlæggelse til Marselisborg Slot,H.M. Dronningen
68,2016-03-28T00:00:00,Danmark,/kalender/hkh-prinsgemalen-overvaerer-prins-henriks-aeresloeb-kl-1300,H.K.H. Prinsgemalen overværer travløbet Prins Henriks Cup kl. 13.00,H.K.H. Prins Henrik
69,2016-03-30T00:00:00,Danmark,/kalender/hkh-kronprinsen-deltager-i-arctic-circle-race,H.K.H. Kronprinsen deltager i Arctic Circle Race,H.K.H. Kronprinsen
70,2016-03-31T00:00:00,Danmark,/kalender/residensforlaeggelse-til-fredensborg-slot,Residensforlæggelse til Fredensborg Slot,H.M. Dronningen
71,2016-03-31T00:00:00,Danmark,/kalender/regentparret-modtager-fredensborg-bys-fakkeltog-kl-2100,Regentparret modtager Fredensborg bys fakkeltog kl. 21.00,"H.M. Dronningen,H.K.H. Prins Henrik"
72,2016-02-01T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-mary-fonden-og-roede-kors-netvaerksgruppe-vaerket-kl-1600,"H.K.H. Kronprinsessen deltager i Mary Fonden og Røde Kors' netværksgruppe ""Værket"" kl. 16.00",H.K.H. Kronprinsessen
73,2016-02-01T00:00:00,Danmark,/kalender/hkh-prins-joachim-deltager-i-schackenborg-dialog-kl-1730,"H.K.H. Prins Joachim deltager i ""Schackenborg Dialog"" kl. 17.30",H.K.H. Prins Joachim
74,2016-02-02T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-modtager-donation-fra-inner-wheel-til-maternity-foundation-kl-1330,H.K.H. Kronprinsessen modtager donation fra Inner Wheel til Maternity Foundation kl. 13.30,H.K.H. Kronprinsessen
75,2016-02-02T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-deltager-i-jonstrupvang-bebyggelsens-40-aars-jubilaeum-kl-1430,H.K.H. Prinsesse Benedikte deltager i Jonstrupvang Bebyggelsens 40-års jubilæum kl. 14.30,H.K.H. Prinsesse Benedikte
76,2016-02-03T00:00:00,Danmark,/menu/kalender/statsraad-paa-christiansborg-slot-kl-930,Statsråd på Christiansborg Slot kl. 9.30,"H.M. Dronningen,H.K.H. Kronprinsen"
77,2016-02-03T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-er-til-stede-ved-aabning-af-modeugen-kl-1400,H.K.H. Kronprinsessen er til stede ved åbning af modeugen kl. 14.00,H.K.H. Kronprinsessen
78,2016-02-04T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-taler-ved-konference-om-seksuel-og-reproduktiv-sundhed-og-rettigheder-i,H.K.H. Kronprinsessen taler ved konference om Seksuel og Reproduktiv Sundhed og Rettigheder i Humanitære Kriser kl. 13.00,H.K.H. Kronprinsessen
79,2016-02-04T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-overraekker-kraeftens-bekaempelses-haederspris-2016-kl-1810,H.K.H. Kronprinsessen overrækker Kræftens Bekæmpelses Hæderspris 2016 kl. 18.10,H.K.H. Kronprinsessen
80,2016-02-05T00:00:00,Danmark,/kalender/hkh-kronprinsessens-foedselsdag,H.K.H. Kronprinsessens fødselsdag,H.K.H. Kronprinsessen
81,2016-02-05T00:00:00,Danmark,/kalender/hkh-kronprinsen-deltager-i-praesentationen-af-ol-fanebaereren-for-det-danske-hold-ved-de-olympiske,H.K.H. Kronprinsen deltager i præsentationen af OL-fanebæreren for det danske hold ved de Olympiske Lege i 2016 kl. 12.30,H.K.H. Kronprinsen
82,2016-02-06T00:00:00,Danmark,/kalender/hkh-prinsesse-maries-foedselsdag,H.K.H. Prinsesse Maries fødselsdag,H.K.H. Prinsesse Marie
83,2016-02-06T00:00:00,Danmark,/kalender/kronprinsparret-er-til-stede-ved-danmarks-indsamling-2016-kl-2000,Kronprinsparret er til stede ved Danmarks Indsamling 2016 kl. 20.00,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
84,2016-02-08T00:00:00,Danmark,/kalender/offentlig-audiens-paa-christiansborg-slot-kl-1000,Offentlig audiens på Christiansborg Slot kl. 10.00,H.M. Dronningen
85,2016-02-09T00:00:00,Danmark,/kalender/hm-dronningen-modtager-afgaaende-og-ny-chef-fra-princess-of-waless-royal-regiment-kl-1030,H.M. Dronningen modtager afgående og ny chef fra Princess of Wales's Royal Regiment kl. 10.30,H.M. Dronningen
86,2016-02-09T00:00:00,Danmark,/kalender/hm-dronningen-til-stede-ved-aabning-af-udstillingen-en-mekanisk-droem-lehmanns-store-musikskab-kl,"H.M. Dronningen til stede ved åbning af udstillingen ""En mekanisk drøm - Lehmanns store musikskab"" kl. 14.30",H.M. Dronningen
87,2016-02-12T00:00:00,Danmark,/kalender/hkh-kronprinsen-overvaerer-2nd-youth-olympic-games-2016,H.K.H. Kronprinsen overværer 2nd Youth Olympic Games 2016,H.K.H. Kronprinsen
88,2016-02-12T00:00:00,Danmark,/kalender/hm-dronningen-til-stede-ved-aabningen-af-det-nyrestaurerede-skagens-museum-kl-1100,H.M. Dronningen til stede ved åbningen af det nyrestaurerede Skagens Museum kl. 11.00,H.M. Dronningen
89,2016-02-21T00:00:00,Danmark,/kalender/hkh-kronprinsen-er-regent-den-21-27-februar,H.K.H. Kronprinsen er regent den 21. – 27. februar,H.K.H. Kronprinsen
90,2016-02-22T00:00:00,Danmark,/kalender/offentlig-audiens-kl-1000,Offentlig audiens kl. 10.00,H.K.H. Kronprinsen
91,2016-02-22T00:00:00,Danmark,/kalender/hkh-prinsesse-marie-aabner-folkekirkens-noedhjaelps-wefood-butik-kl-1010,H.K.H. Prinsesse Marie åbner Folkekirkens Nødhjælps Wefood butik kl. 10.10,H.K.H. Prinsesse Marie
92,2016-02-25T00:00:00,Danmark,/kalender/hkh-kronprinsessen-er-til-stede-ved-eliteforsk-konferencen-2016-kl-1300,H.K.H. Kronprinsessen er til stede ved EliteForsk-konferencen 2016 kl. 13.00,H.K.H. Kronprinsessen
93,2016-02-27T00:00:00,Danmark,/kalender/hkh-prins-joachim-er-rigsforstander-den-27-februar-3-marts,H.K.H. Prins Joachim er rigsforstander den 27. februar – 3. marts,H.K.H. Prins Joachim
94,2016-02-28T00:00:00,Danmark,/kalender/kronprinsparret-deltager-i-erhvervsfremstoed-i-saudi-arabien-og-qatar,Kronprinsparret deltager i erhvervsfremstød i Saudi Arabien og Qatar,"H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
95,2016-02-29T00:00:00,Danmark,/kalender/hkh-prins-joachim-modtager-nye-ministre-kl-1300,H.K.H. Prins Joachim modtager nye ministre kl. 13.00,H.K.H. Prins Joachim
96,2016-02-29T00:00:00,Danmark,/kalender/hkh-prins-joachim-modtager-afgaaende-miljoe-og-foedevareminister-kl-1330,H.K.H. Prins Joachim modtager afgående miljø- og fødevareminister kl. 13.30,H.K.H. Prins Joachim
97,2016-02-29T00:00:00,Danmark,/kalender/hkh-prins-joachim-deltager-i-cbs-case-competition-welcome-dinner,H.K.H. Prins Joachim deltager i CBS Case Competition Welcome Dinner kl. 18.30,H.K.H. Prins Joachim
98,2016-01-01T00:00:00,Danmark,/menu/kalender/nytarskur-og-taffel-i-christian-viis-pala,Nytårskur og -taffel i Christian VII's Palæ,"H.M. Dronningen,H.K.H. Prins Henrik,H.K.H. Kronprinsen,H.K.H. Kronprinsessen,H.K.H. Prins Joachim,H.K.H. Prinsesse Marie"
99,2016-01-05T00:00:00,Danmark,/menu/kalender/regentparret-afholder-nytarskur-i-christian-viis-pala,H.M. Dronningen afholder nytårskur i Christian VII's Palæ kl. 9.50,"H.M. Dronningen,H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
100,2016-01-05T00:00:00,Danmark,/menu/kalender/regentparret-afholder-nytaarskur-i-christian-viis-palae-kl-0950,Regentparret afholder nytårskur i Christian VII's Palæ kl. 09.50,"H.M. Dronningen,H.K.H. Prins Henrik"
101,2016-01-05T00:00:00,Danmark,/menu/kalender/regentparret-afholder-nytarskur-pa-christiansborg-slot,H.M. Dronningen afholder nytårskur på Christiansborg Slot kl. 11.30,"H.M. Dronningen,H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
102,2016-01-06T00:00:00,Danmark,/menu/kalender/regentparret-eskorteres-i-guldkaret-fra-amalienborg-til-christiansborg-slot-kl-0900-0,H.M. Dronningen eskorteres i guldkaret fra Amalienborg til Christiansborg Slot kl. 9.00,H.M. Dronningen
103,2016-01-06T00:00:00,Danmark,/menu/kalender/regentparret-afholder-nytarskur-pa-christiansborg-slot-2,H.M. Dronningen afholder nytårskur på Christiansborg Slot kl. 9.30.,"H.M. Dronningen,H.K.H. Kronprinsen,H.K.H. Kronprinsessen"
104,2016-01-06T00:00:00,Danmark,/menu/kalender/regentparret-eskorteres-i-guldkaret-fra-christiansborg-slot-til-amalienborg-kl-1330,H.M. Dronningen eskorteres i guldkaret fra Christiansborg Slot til Amalienborg kl. 13.30,H.M. Dronningen
105,2016-01-08T00:00:00,Danmark,/menu/kalender/dkh-prins-vincent-og-prinsesse-josephines-fodselsdag-3,D.K.H. Prins Vincent og Prinsesse Josephines fødselsdag,"H.K.H. Prins Vincent,H.K.H. Prinsesse Josephine"
106,2016-01-08T00:00:00,Danmark,/menu/kalender/dkh-prins-joachim-og-prinsesse-marie-deltager-i-markeringen-af-dansk-islandsk-samfunds-100-aars,D.K.H. Prins Joachim og Prinsesse Marie deltager i markeringen af Dansk-Islandsk Samfunds 100-års jubilæum kl. 18.15,"H.K.H. Prins Joachim,H.K.H. Prinsesse Marie"
107,2016-01-09T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-overvaerer-dr-sportsgalla-kl-1700,H.K.H. Kronprinsen overværer DR Sportsgalla kl. 17.00,H.K.H. Kronprinsen
108,2016-01-11T00:00:00,Danmark,/menu/kalender/offentlig-audiens-pa-christiansborg-slot-kl-1000-43,Offentlig audiens på Christiansborg Slot kl. 10.00,H.M. Dronningen
109,2016-01-11T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-forestaar-uddeling-af-hjerteforeningens-forskningslegater-kl-1535,H.K.H. Kronprinsessen forestår uddeling af Hjerteforeningens forskningslegater kl. 15.35,H.K.H. Kronprinsessen
110,2016-01-12T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-er-til-stede-ved-highfive-10-aars-jubilaeumsreception-kl-1535,H.K.H. Prins Joachim er til stede ved High:five 10-års jubilæumsreception kl. 14.30,H.K.H. Prins Joachim
111,2016-01-14T00:00:00,Danmark,/menu/kalender/hkh-prinsgemalen-afholder-jagt-i-grib-skov-kl-0800,H.K.H. Prinsgemalen afholder jagt i Grib Skov kl. 08.00,H.K.H. Prins Henrik
112,2016-01-15T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-marie-aabner-world-autism-organisations-konference-what-i-do-is-who-i-am-kl-1645,"H.K.H. Prinsesse Marie åbner World Autism Organisation’s konference ""What I do is who I am"" kl. 16.45",H.K.H. Prinsesse Marie
113,2016-01-15T00:00:00,Danmark,/menu/kalender/hm-dronningen-deltager-i-barokorkestret-concerto-copenhagens-25-aars-jubilaeum-kl-1930,Regentparret deltager i barokorkestret Concerto Copenhagen’s 25-års jubilæum kl. 19.30,"H.M. Dronningen,H.K.H. Prins Henrik"
114,2016-01-16T00:00:00,Danmark,/menu/kalender/hm-dronningen-deltager-i-fejring-af-norges-kongepar,H.M. Dronningen deltager i fejring af Norges kongepar,H.M. Dronningen
